id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
9572183,Pokemon Promo,Eevee #200,$2.26,,$5.50,$9.00,$10.00,$264.98,$344.00,$212.00,$159.00,,,,$2.49,,,$1.20,$6.09,,233,Pokemon Card,,,,
5609904,Pokemon Promo,Eevee #43,$5.00,$14.99,$22.14,$24.00,$26.00,$74.99,$97.00,$25.72,$45.00,,,$1.10,$5.49,$4.00,$15.99,$7.20,$23.99,,331,Pokemon Card,512492,,,
1563489,Pokemon Promo,Eevee #BW94,$40.49,$81.50,$143.17,$264.51,$291.00,$622.75,$810.00,$498.00,$374.00,,,$18.00,$44.99,$36.00,$89.99,$78.50,$157.00,,148,Pokemon Card,85095,,,2011-04-26
1563492,Pokemon Promo,Eevee #BW97,$223.28,$300.43,$440.93,$1204.30,$1325.00,$2833.87,$3684.00,$2267.00,$1700.00,,,$123.00,$246.00,$165.00,$330.00,$242.50,$485.00,,38,Pokemon Card,85096,,,2011-04-26
844874,Pokemon Promo,Eevee #SM184,$9.99,$14.26,$17.00,$37.99,$39.99,$302.50,$393.00,$242.00,$182.00,,,$2.80,$10.99,$4.00,$15.99,$4.80,$18.99,,93,Pokemon Card,189757,,,2016-11-18
844925,Pokemon Promo,Eevee #SM235,$8.26,$12.50,$20.99,$28.10,$31.00,$157.73,$205.00,$126.00,$95.00,,,$1.80,$9.09,$3.50,$13.99,$6.90,$22.99,,220,Pokemon Card,200276,,,2016-11-18
1656573,Pokemon Promo,Eevee #SWSH042,$6.73,,$18.83,$19.41,$21.00,$205.49,$267.00,$164.00,$123.00,,,$1.50,$7.39,,,$6.30,$20.99,,237,Pokemon Card,,,,2020-04-26
1656624,Pokemon Promo,Eevee #SWSH095,$3.62,,$12.06,$20.62,$23.00,$171.01,$222.00,$31.00,$103.00,,,$0.80,$3.99,,,$3.30,$12.99,,282,Pokemon Card,234287,,,2020-04-26
2290515,Pokemon Promo,Eevee #SWSH118,$4.19,$7.00,$8.14,$23.22,$26.00,$225.00,$293.00,$180.00,$135.00,,,$0.90,$4.59,$1.50,$7.69,$1.80,$8.99,,263,Pokemon Card,241883,,,
2594291,Pokemon Promo,Eevee #SWSH127,$3.75,$6.99,$13.23,$18.00,$20.00,$225.50,$293.00,$47.04,$135.00,,,$0.80,$4.09,$1.50,$7.69,$3.80,$14.99,,256,Pokemon Card,247291,,,
2807034,Pokemon Promo,Eevee #SWSH175,$5.31,,$18.49,$31.00,$34.00,$750.00,$975.00,$600.00,$450.00,,,$1.20,$5.79,,,$5.00,$19.99,,265,Pokemon Card,253413,,,
3233278,Pokemon Promo,Eevee #SWSH190,$3.56,$7.56,$24.92,$27.00,$30.00,$88.26,$115.00,$27.00,$53.00,,,$0.80,$3.89,$1.70,$8.29,$8.10,$26.99,,437,Pokemon Card,,,,
3509785,Pokemon Promo,Eevee #SWSH212,$3.77,,$10.27,$13.75,$15.00,,,,,,,$0.80,$4.19,,,$2.80,$10.99,,264,Pokemon Card,273590,,,
844857,Pokemon Promo,Eevee & Snorlax GX #SM169,$103.69,$96.54,$115.87,$148.13,$202.50,$546.75,$711.00,$249.96,$328.00,,,$57.00,$114.00,$53.00,$106.00,$63.50,$127.00,,1094,Pokemon Card,185986,,,2016-11-18
8575977,Pokemon Promo,Eevee & Snorlax GX Tin,$515.45,,,,,,,,,,,$340.20,$567.00,,,,,,9,Sealed Product,,,,
9370592,Pokemon Promo,Eevee Ex #174,$25.66,$19.00,$23.78,$36.24,$92.25,$297.07,$386.00,$139.50,$178.00,,,$8.40,$27.99,$6.30,$20.99,$7.80,$25.99,,1662,Pokemon Card,632083,,,
844863,Pokemon Promo,Eevee GX #SM174,$32.32,$14.00,$17.46,$35.73,$39.00,$144.25,$188.00,$51.90,$87.00,,,$14.40,$35.99,$3.80,$14.99,$4.80,$18.99,,108,Pokemon Card,183560,,,2016-11-18
844864,Pokemon Promo,Eevee GX #SM175,$26.78,,$13.03,$25.89,$28.00,$140.10,$182.00,$112.00,$84.00,,,$8.70,$28.99,,,$3.50,$13.99,,100,Pokemon Card,183561,,,2016-11-18
844865,Pokemon Promo,Eevee GX #SM176,$25.00,,$27.25,$31.00,$34.00,$157.68,$205.00,$126.00,$95.00,,,$8.40,$27.99,,,$9.00,$29.99,,138,Pokemon Card,183562,,,2016-11-18
844923,Pokemon Promo,Eevee GX #SM233,$64.35,$70.00,$86.95,$180.00,$198.00,$2070.15,$2691.00,$340.00,$1242.00,,,$28.40,$70.99,$30.80,$76.99,$38.40,$95.99,,491,Pokemon Card,200272,,,2016-11-18
2245570,Pokemon Promo,Eevee GX #SM242,$18.60,$19.00,$23.25,$41.08,$45.00,$310.09,$403.00,$97.41,$186.00,,,$5.00,$19.99,$6.30,$20.99,$7.80,$25.99,,382,Pokemon Card,211456,,,
10809669,Pokemon Promo,Eevee GX [Jumbo] #177,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
10809671,Pokemon Promo,Eevee GX [Jumbo] #178,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
10809673,Pokemon Promo,Eevee GX [Jumbo] #179,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
10809705,Pokemon Promo,Eevee GX [Jumbo] #245,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
10851278,Pokemon Promo,Eevee Pokemon Treasure Chest Tin,$70.97,,,,,,,,,,,$31.20,$77.99,,,,,,41,Sealed Product,251014,,,
1656594,Pokemon Promo,Eevee V #SWSH065,$4.97,,$13.10,$21.99,$24.00,$94.99,$123.00,$16.99,$57.00,,,$1.10,$5.49,,,$3.50,$13.99,,294,Pokemon Card,220317,,,2020-09-04
